filePath,pointSize,styleItemName,styleItemCategory,styleItemTags
{Github Root}\solutions-symbology-data\data\incident-symbols\emfs\Accident.emf,32,Accident,Incident,Incident;Accident;emf
{Github Root}\solutions-symbology-data\data\incident-symbols\emfs\Arrest.emf,32,Arrest,Incident,Incident;Arrest;emf
{Github Root}\solutions-symbology-data\data\incident-symbols\emfs\Arson.emf,32,Arson,Incident,Incident;Arson;emf
{Github Root}\solutions-symbology-data\data\incident-symbols\emfs\Assassination.emf,32,Assassination,Incident,Incident;Assassination;emf
{Github Root}\solutions-symbology-data\data\incident-symbols\emfs\Attack.emf,32,Attack,Incident,Incident;Attack;emf
{Github Root}\solutions-symbology-data\data\incident-symbols\emfs\Demonstration.emf,32,Demonstration,Incident,Incident;Demonstration;emf
{Github Root}\solutions-symbology-data\data\incident-symbols\emfs\Detain.emf,32,Detain,Incident,Incident;Detain;emf
{Github Root}\solutions-symbology-data\data\incident-symbols\emfs\DirectFire.emf,32,DirectFire,Incident,Incident;DirectFire;emf
{Github Root}\solutions-symbology-data\data\incident-symbols\emfs\IED.emf,32,IED,Incident,Incident;IED;emf
{Github Root}\solutions-symbology-data\data\incident-symbols\emfs\IndirectFire.emf,32,IndirectFire,Incident,Incident;IndirectFire;emf
{Github Root}\solutions-symbology-data\data\incident-symbols\emfs\MedEvac.emf,32,MedEvac,Incident,Incident;MedEvac;emf
{Github Root}\solutions-symbology-data\data\incident-symbols\emfs\MineFoundCleared.emf,32,MineFoundCleared,Incident,Incident;MineFoundCleared;emf
{Github Root}\solutions-symbology-data\data\incident-symbols\emfs\MineStrike.emf,32,MineStrike,Incident,Incident;MineStrike;emf
{Github Root}\solutions-symbology-data\data\incident-symbols\emfs\Murder.emf,32,Murder,Incident,Incident;Murder;emf
{Github Root}\solutions-symbology-data\data\incident-symbols\emfs\OtherDefensive.emf,32,OtherDefensive,Incident,Incident;OtherDefensive;emf
{Github Root}\solutions-symbology-data\data\incident-symbols\emfs\OtherOffensive.emf,32,OtherOffensive,Incident,Incident;OtherOffensive;emf
{Github Root}\solutions-symbology-data\data\incident-symbols\emfs\Propaganda.emf,32,Propaganda,Incident,Incident;Propaganda;emf
{Github Root}\solutions-symbology-data\data\incident-symbols\emfs\SmallArmsFire.emf,32,SmallArmsFire,Incident,Incident;SmallArmsFire;emf
{Github Root}\solutions-symbology-data\data\incident-symbols\emfs\Surveillance.emf,32,Surveillance,Incident,Incident;Surveillance;emf
